,title,qualities,offer,offer_price,actual_price,image_link,link
0,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...","Orange Strap, Free Size",71% off,"₹1,299","₹4,499",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/a/b/r/-original-imagyu79b87hvwme.jpeg?q=70,https://www.flipkart.com/boult-crown-1-95-screen-bt-calling-working-crown-zinc-alloy-frame-900-nits-spo2-smartwatch/p/itme4d41a7681606?pid=SMWGPHT4WMGGHGGC&lid=LSTSMWGPHT4WMGGHGGC7NH1PB&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_1&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1UhgkU_BY6OzLHOmUN0wXBwXTioYe-FbSmWt0g3lLi-xg%3D%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
1,Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Sma...,"Silver Strap, Free Size",88% off,"₹1,149","₹9,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/7/p/b/-original-imagxp8u4gd3pyyz.jpeg?q=70,https://www.flipkart.com/fire-boltt-ninja-calling-pro-plus-1-83-inch-display-smartwatch-bluetooth-calling-ai-voice/p/itm867974696b635?pid=SMWGGZ74PKPHE8WZ&lid=LSTSMWGGZ74PKPHE8WZISP9RR&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_2&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1VANG34z7AkTP0qgiGvxuJLFtQCzt-ydpW67iWJ91vOzw%3D%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
2,Fire-Boltt Ninja Pro Max Plus 1.83 Smartwatch,"Pink Gold Strap, Free Size",86% off,"₹1,099","₹7,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/i/o/-original-imagxp8ubtcpucwz.jpeg?q=70,https://www.flipkart.com/fire-boltt-ninja-pro-max-plus-1-83-smartwatch/p/itmefb489b091f2f?pid=SMWGG5GFY9VDCUPJ&lid=LSTSMWGG5GFY9VDCUPJ4FYBLJ&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_3&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGG5GFY9VDCUPJ.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
3,"Fire-Boltt Rise BT Calling,1.85"", Voice Assistance & 12...","Black Strap, Free Size",90% off,"₹1,199","₹11,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/w/o/t/-original-imagxp8thk2pbaqa.jpeg?q=70,https://www.flipkart.com/fire-boltt-rise-bt-calling-1-85-voice-assistance-123-sports-single-connection-smartwatch/p/itm0f1b26a44d4fa?pid=SMWGKVYJPAYYNNAH&lid=LSTSMWGKVYJPAYYNNAH0XUZNG&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_4&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGKVYJPAYYNNAH.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
4,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Meta...","Black Strap, Regular",85% off,"₹1,199","₹7,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/7/9/-original-imagxp8vqtbxguy5.jpeg?q=70,https://www.flipkart.com/noise-icon-3-1-91-display-bluetooth-calling-metallic-finish-voice-assistant-smartwatch/p/itm56bd081298dde?pid=SMWGKJTS3VZPMEJG&lid=LSTSMWGKJTS3VZPMEJGYC3UAS&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_5&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGKJTS3VZPMEJG.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
5,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360...","Grey Strap, Free Size",87% off,"₹1,099","₹8,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/0/1/-original-imagxp8vkpczss32.jpeg?q=70,https://www.flipkart.com/fire-boltt-hurricane-1-3-curved-glass-display-360-health-training-100-sports-modes-smartwatch/p/itm3c859e9844078?pid=SMWGD53JK34GFBT6&lid=LSTSMWGD53JK34GFBT6NC7KH9&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_6&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGD53JK34GFBT6.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
6,Fire-Boltt Ninja Pro Max Plus 1.83 Smartwatch,"Rose Gold Strap, Free Size",86% off,"₹1,099","₹7,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/z/z/-original-imagxp8u5h2pzh72.jpeg?q=70,https://www.flipkart.com/fire-boltt-ninja-pro-max-plus-1-83-smartwatch/p/itmeb789730e2557?pid=SMWGG5GFDQF2GUBH&lid=LSTSMWGG5GFDQF2GUBHJFSIVX&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_7&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGG5GFDQF2GUBH.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
7,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360...","Black Strap, Free Size",87% off,"₹1,149","₹8,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/x/b/-original-imagxp9ncr6y7hfd.jpeg?q=70,https://www.flipkart.com/fire-boltt-hurricane-1-3-curved-glass-display-360-health-training-100-sports-modes-smartwatch/p/itm64b4fe6864a92?pid=SMWGD53JGHQMYZFF&lid=LSTSMWGD53JGHQMYZFFAT40XM&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_8&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1VD2N8M3lXIU4j9MrP_98og6FC8nLcr3JsYbaDnvzRGq-o15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
8,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Black Strap, Regular",81% off,"₹1,099","₹5,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/w/4/-original-imagxp8uu5pequex.jpeg?q=70,https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itmd4cd819eadb9f?pid=SMWGEH7VGYMGCP3V&lid=LSTSMWGEH7VGYMGCP3VXIJHDY&marketplace=FLIPKART&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=b_1_9&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGEH7VGYMGCP3V.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
9,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"Black Strap, Free Size",72% off,"₹1,099","₹3,995",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/i/4/-original-imagxp8urwgc96cz.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itmab38b5cb1e3fb?pid=SMWGN4YEWGNZ2GGM&lid=LSTSMWGN4YEWGNZ2GGMLUF0DF&marketplace=FLIPKART&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=b_1_10&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGN4YEWGNZ2GGM.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
